小学校,中学校,区名,町名,区域,備考
青葉小,青葉中,東区,青葉,1丁目～7丁目,
青葉小,青葉中,東区,みどりが丘,1丁目～3丁目,
赤坂小,警固中,中央区,城内,1番～10番（11番は草ヶ江小),
赤坂小,警固中,中央区,赤坂,1丁目～3丁目,
赤坂小,警固中,中央区,大手門,1丁目,
赤坂小,警固中,中央区,桜坂,1丁目、2丁目、3丁目5番～13番（ただし、5番(60号)を除く…平尾小）,
愛宕小,姪浜中,西区,愛宕,1丁目～4丁目,
愛宕小,姪浜中,西区,愛宕浜,2丁目1番、2番,
愛宕小,姪浜中,西区,豊浜,1丁目～3丁目,
愛宕浜小,姪浜中,西区,愛宕浜,1丁目～4丁目（ただし、2丁目1番、2番を除く…愛宕小）,
愛宕浜小,姪浜中,西区,姪の浜,2丁目22番、3丁目32番(11号、16号)、38番～48番,
有住小,西福岡中,早良区,有田,7丁目,
有住小,西福岡中,早良区,室住団地,全域,
有田小,次郎丸中,早良区,次郎丸,1丁目、2丁目、3丁目1番～28番、4丁目1番～9番、10番(1号～20号、49号、50号、52号～55号)、11番～13番、14番(18号)、15番(5号、40号～43号)、18番(1号～6号、10号～12号、46号、48号、50号～54号、56号)、5丁目1番～10番、11番(ただし、38号～50号を除く…田村小)、12番～14番、6丁目,
有田小,次郎丸中,早良区,有田団地,全域,
有田小,次郎丸中,早良区,有田,6丁目、8丁目,
飯倉小,原中,早良区,飯倉,5丁目～7丁目,
飯倉小,原中,早良区,星の原団地,1番～12番、53番～55番、80番、81番,
飯倉小,原中,早良区,干隈,3丁目～6丁目（1丁目、2丁目は城南区）,
飯倉中央小,原中,早良区,飯倉,2丁目、3丁目,
飯原小,原中,早良区,飯倉,4丁目、8丁目,
飯原小,原中,早良区,原,6丁目、7丁目,
壱岐小,壱岐中,西区,拾六町団地,全域,
壱岐小,壱岐中,西区,大字野方,891（2）,
壱岐小,壱岐中,西区,野方,1丁目、5丁目1番、2番、3番、8番、6丁目、7丁目,
壱岐小,壱岐中,西区,生松台,1丁目～3丁目,
壱岐小,壱岐中,西区,西の丘,1丁目～3丁目,
壱岐小,壱岐中,西区,拾六町,1丁目～4丁目(ただし、2丁目16番(壱岐中校地)を除く･･･壱岐東小),
壱岐東小,壱岐中,西区,拾六町,2丁目16番(壱岐中校地),
壱岐東小,壱岐中,西区,壱岐団地,1番～93番,
壱岐東小,壱岐中,西区,橋本,1丁目14番(壱岐東小校地),
壱岐南小,壱岐丘中,西区,大字野方,1096(3)、1098(130)、1097(2),
壱岐南小,壱岐丘中,西区,大字羽根戸,725(1)～752(10),
壱岐南小,壱岐丘中,西区,壱岐団地,100番～終,
壱岐南小,壱岐丘中,西区,野方,2丁目～4丁目、5丁目4番～7番、9番～64番,
壱岐南小,壱岐丘中,西区,橋本,1丁目、2丁目（ただし、1丁目14番（壱岐東小校地）を除く･･･壱岐東小）,
壱岐南小,壱岐丘中,西区,大字橋本,全域,
壱岐南小,壱岐丘中,西区,戸切,1丁目、2丁目、3丁目1番～33番、35番、38番,
石丸小,下山門中,西区,大町団地,全域,
石丸小,下山門中,西区,十郎川団地,全域,
石丸小,下山門中,西区,石丸,1丁目～4丁目,
板付小,板付中,博多区,諸岡,1丁目21番～27番、2丁目,
板付小,板付中,博多区,板付,6丁目、7丁目（ただし、7丁目1番を除く…板付北小）,
板付小,板付中,博多区,西月隈,6丁目7番,
板付小,板付中,博多区,東雲町,1丁目～4丁目,
板付小,板付中,博多区,井相田,1丁目～3丁目,
板付小,板付中,博多区,麦野,1丁目～6丁目,
板付北小,板付中,博多区,板付,1丁目、2丁目、3丁目8番(板付団地を除く)、14番(板付団地を除く)、15番～26番、4丁目、5丁目、7丁目1番,
板付北小,板付中,博多区,大字板付,全域,
板付北小,板付中,博多区,西月隈,1丁目13番(28号、37号、39号、40号、44号)、3丁目1番(2号、45号、47号、52号、55号、57号、62号、68号)、8番(5号、47号、48号、50号)、9番、10番(2号、17号～20号、25号)、5丁目5番(36号)、6番(1号)、12番(2号、5号、50号～56号)、18番(35号～38号、41号、43号、48号),
今宿小,玄洋中,西区,今宿,3丁目111番,
今宿小,玄洋中,西区,今宿町,全域,
今宿小,玄洋中,西区,今宿上ノ原,全域,
今宿小,玄洋中,西区,今宿青木,全域,今宿青木大谷地区(1092～1105番地)は、西陵小、西陵中への指定学校変更が可能。
今宿小,玄洋中,西区,今宿駅前,1丁目,
今宿小,玄洋中,西区,今宿東,1丁目～3丁目,
今宿小,玄洋中,西区,今宿西,1丁目,
今津小,玄洋中,西区,今津,全域,
入部小,金武中,早良区,西入部,1丁目(ただし、5番～7番を除く･･･四箇田小)、2丁目、3丁目、4丁目、5丁目,金武中校区は西区に金武小校区あり
入部小,金武中,早良区,大字西入部,全域,
入部小,金武中,早良区,東入部,1丁目～8丁目,
入部小,金武中,早良区,大字東入部,全域（ただし、早良小区域を除く）,
入部小,金武中,早良区,重留,1丁目～6丁目、7丁目28番～35番、8丁目,
内野小,早良中,早良区,大字内野,182、803～805、807～815、817～822,
内野小,早良中,早良区,内野,1丁目～8丁目,
内野小,早良中,早良区,大字西,全域（ただし、早良小区域を除く）,
内野小,早良中,早良区,大字石釜,全域,
内野小,早良中,早良区,大字曲渕,全域,
内野小,早良中,早良区,大字飯場,全域,
内浜小,内浜中,西区,姪の浜,5丁目,
内浜小,内浜中,西区,小戸,3丁目～5丁目,
内浜小,内浜中,西区,内浜,1丁目、2丁目,
大池小,野間中,南区,大池,1丁目、2丁目,
大池小,野間中,南区,多賀,1丁目9番(16号～33号)、11番～18番、2丁目,
大池小,野間中,南区,寺塚,1丁目、2丁目,
大楠小,高宮中,南区,大楠,1丁目～3丁目,高宮中校区は中央区に高宮小校区あり
大楠小,高宮中,南区,那の川,1丁目、2丁目（2丁目5番～11番は中央区）,
大原小,原中央中,早良区,原団地,全域,
大原小,原中央中,早良区,原,3丁目、4丁目,
曰佐小,横手中,南区,曰佐,1丁目、2丁目、4丁目、5丁目,
曰佐小,横手中,南区,的場,1丁目、2丁目,
曰佐小,横手中,南区,横手,"3丁目41番の一部、42番、43番 ※一部の詳細は、学校計画第1課・第2課へ照会のこと",
小笹小,平尾中,中央区,小笹,"1丁目～3丁目（ただし、3丁目20番の一部を除く・・・詳細は学校計画第1課・第2課へ照会のこと。）,4丁目1番～13番（ただし、13番(21号～37号)を除く…笹丘小）、5丁目 ※一部の詳細は、学校計画第1課・第2課へ照会のこと",
小笹小,平尾中,中央区,平和,3丁目、5丁目(1丁目、2丁目、4丁目は南区),
小呂小,小呂中,西区,大字小呂島,全域,
香椎小,香椎第２中,東区,香椎,"2丁目12番(11号～15号)、13番の一部 ※一部の詳細は、学校計画第1課・第2課へ照会のこと",
香椎小,香椎第２中,東区,香椎駅前,1丁目～3丁目,
香椎小,香椎第２中,東区,香椎駅東,1丁目1番～26番、31番、37番（ただし、15番(14号、15号)、31番(18号、19号)、37番(18号～24号)を除く…香椎下原小）、2丁目,
香椎小,香椎第２中,東区,御島崎,1丁目、2丁目,
香椎小,香椎第２中,東区,香住ヶ丘,7丁目5番～10番,
香椎下原小,香椎第３中,東区,大字香椎,全域（ただし、香椎東小区域を除く）,
香椎下原小,香椎第３中,東区,下原,1丁目～5丁目,
香椎下原小,香椎第３中,東区,大字下原,全域,
香椎下原小,香椎第３中,東区,唐原,7丁目5番、15番(34号、41号)、16番,
香椎下原小,香椎第３中,東区,松香台,1丁目,
香椎下原小,香椎第３中,東区,香椎,2丁目（ただし、1番～17番、18番(25号～33号)を除く…香椎小または香椎東小）、3丁目1番,
香椎下原小,香椎第３中,東区,香椎駅東,1丁目15番(14号、15号)、27番～30番、31番(18号、19号)、32番～36番、37番(18号～24号)、38番～40番、3丁目、4丁目,
香椎下原小,香椎第３中,東区,大字浜男,全域,
香椎浜小,城香中,東区,香椎浜,2丁目、3丁目,
香椎浜小,城香中,東区,香椎浜ふ頭,1丁目～4丁目,
香椎東小,香椎第３中,東区,香椎台,1丁目～5丁目,
香椎東小,香椎第３中,東区,香椎,"1丁目、2丁目1番～12番（ただし、12番(11号～15号)を除く…香椎小）、13番の一部、14番～17番、18番(25号～33号)、3丁目2番～31番、40番～54番、4丁目～6丁目 ※一部の詳細は、学校計画第1課・第2課へ照会のこと",
香椎東小,香椎第３中,東区,水谷,3丁目28番(49号～51号),
香椎東小,香椎第３中,東区,大字香椎,924、1002～1015、1337～1339、1343、1347～1354、1358～1369、1395、1396、1458、1461～1463、1486～1502、1511～1526、1529～1541、1572～1574,
柏原小,柏原中,南区,柏原,1丁目12番～17番、27番～45番、47番～53番、3丁目～7丁目,
柏原小,柏原中,南区,大字柏原,全域,
柏原小,柏原中,南区,大平寺,1丁目、2丁目,
柏原小,柏原中,南区,桧原,3丁目22番～25番、4丁目13番(10号～21号),
香住丘小,香椎第２中,東区,唐原,1丁目～7丁目(ただし、7丁目5番、15番(34号、41号)、16番を除く…香椎下原小),
香住丘小,香椎第２中,東区,香住ヶ丘,"1丁目～7丁目（ただし、7丁目5番～ 10番を除く…香椎小）",
香住丘小,香椎第２中,東区,松香台,2丁目,
香住丘小,香椎第２中,東区,和白,1丁目、4丁目1番～8番（ただし、8番(14号～20号)を除く…和白小）,
香住丘小,香椎第２中,東区,大字上和白,"1332、1334～1344、1347、1391、1392、 1401の一部 ※一部の詳細は、学校計画第1課・第2課へ照会のこと",
片江小,片江中,城南区,西片江,1丁目、2丁目,
片江小,片江中,城南区,片江,1丁目～5丁目(ただし、2丁目8番を除く…堤丘小),
片江小,片江中,城南区,神松寺,1丁目1番～21番、2丁目、3丁目,
片江小,片江中,城南区,松山,1丁目1番、2番,
堅粕小,東光中,博多区,堅粕,1丁目～3丁目、4丁目1番(1号～15号、42号～44号、301号～508号)、5丁目,
堅粕小,東光中,博多区,比恵町,全域,
堅粕小,東光中,博多区,博多駅東,1丁目～3丁目,
堅粕小,東光中,博多区,博多駅中央街,全域,
堅粕小,東光中,博多区,博多駅前,1丁目1番～3番、11番(1号～12号、19号～終)、12番(1号～7号、18号～終)、13番～22番、23番(25号)、24番(1号～5号、16号～終)、32番、2丁目,
勝馬小,志賀中,東区,大字勝馬,全域,
金武小,金武中,西区,大字羽根戸,全域(ただし、壱岐南小区域を除く),"・早良区に金武中校区あり ・大字羽根戸(ただし、壱岐南小区域を除く)は壱岐丘中への指定学校変更が可能。"
金武小,金武中,西区,大字飯盛,全域,・早良区に金武中校区あり
金武小,金武中,西区,大字吉武,全域,
金武小,金武中,西区,大字金武,全域,
金武小,金武中,西区,大字田,1191,
金武小,金武中,西区,戸切,3丁目34番、36番、37番、39番、40番,
金武小,金武中,西区,室見が丘,１丁目～３丁目,
金山小,梅林中,城南区,金山団地,全域,梅林中校区は早良区に田隈小、野芥小校区の一部あり
金山小,梅林中,城南区,松山,1丁目3番～20番、2丁目,
金山小,梅林中,城南区,七隈,8丁目1番～8番、19番、20番,
金山小,友泉中,城南区,友丘,4丁目～6丁目,友泉中校区は中央区に笹丘小校区あり
賀茂小,次郎丸中,早良区,星の原団地,13番～52番、56番～72番,
賀茂小,次郎丸中,早良区,原,8丁目21番、24番～35番,
賀茂小,次郎丸中,早良区,賀茂,1丁目～4丁目,
北崎小,北崎中,西区,大字草場,全域,
北崎小,北崎中,西区,大字小田,全域,
北崎小,北崎中,西区,大字宮浦,全域,
北崎小,北崎中,西区,大字西浦,全域,
草ヶ江小,城西中,中央区,草香江,1丁目、2丁目,
草ヶ江小,城西中,中央区,谷,1丁目、2丁目,
草ヶ江小,城西中,中央区,六本松,1丁目～4丁目,
草ヶ江小,城西中,中央区,城内,11番,
警固小,警固中,中央区,薬院,1丁目、2丁目,
警固小,警固中,中央区,今泉,1丁目、2丁目,
警固小,警固中,中央区,渡辺通,2丁目、4丁目、5丁目20番～24番,
警固小,警固中,中央区,警固,1丁目～3丁目,
玄界小,玄界中,西区,大字玄界島,全域,
玄洋小,玄洋中,西区,今宿,1丁目～3丁目（ただし、3丁目111番を除く…今宿小）,
玄洋小,玄洋中,西区,横浜,1丁目～3丁目,
玄洋小,玄洋中,西区,田尻東,3丁目2550～2554、2557～2567、2570番12,
玄洋小,玄洋中,西区,北原,"2丁目36番の一部及び37番の一部 ※一部の詳細は、学校計画第1課・第2課へ照会のこと",
香陵小,香椎第１中,東区,香椎浜,1丁目2番、6番～9番、4丁目,
小田部小,原北中,早良区,南庄,4丁目13番(室見団地)、5丁目,
小田部小,原北中,早良区,小田部,1丁目、5丁目～7丁目,
西都小,元岡中,西区,西都,2丁目,
西都小,元岡中,西区,徳永北,全域,
西都小,元岡中,西区,女原北,全域,
西都小,元岡中,西区,大字女原,全域,
西都小,元岡中,西区,大字德永,全域(ただし、660を除く・・・周船寺小),
西都北小,元岡中,西区,西都,1丁目,
西都北小,元岡中,西区,北原,"1丁目～2丁目（ただし、2丁目4番の一部・・・周船寺小、36番の一部及び37番の一部・・・玄洋小 を除く） ※一部の詳細は、学校計画第1課・第2課へ照会のこと",
西都北小,元岡中,西区,田尻,2丁目14番,
西都北小,元岡中,西区,田尻東,"1丁目1番～9番（ただし、8番の一部及び9番の一部を除く・・・元岡小）、15番～16番（ただし、15番の一部及び16番の一部を除く・・・元岡小）、18番～27番、 2丁目2586～2604、 3丁目2568～2585（ただし、2570番地12を除く・・・玄洋小）、2686～2714、 4丁目 ※一部の詳細は、学校計画第1課・第2課へ照会のこと",
西都北小,元岡中,西区,学園通,3丁目2605～2619,
西戸崎小,志賀中,東区,西戸崎,1丁目～6丁目,
西戸崎小,志賀中,東区,大岳,1丁目～4丁目,
西戸崎小,志賀中,東区,大字西戸崎,全域,
笹丘小,友泉中,中央区,梅光園団地,全域,友泉中校区は城南区に長尾小校区、田島小校区あり
笹丘小,友泉中,中央区,梅光園,1丁目～3丁目,
笹丘小,友泉中,中央区,小笹,"3丁目20番の一部、4丁目13番(21号～37号)、14番～22番 ※一部の詳細は、学校計画第1課・第2課へ照会のこと",
笹丘小,友泉中,中央区,輝国,1丁目、2丁目,
笹丘小,友泉中,中央区,笹丘,1丁目～3丁目,
早良小,早良中,早良区,大字内野,全域（ただし、内野小区域を除く）,
早良小,早良中,早良区,大字東入部,657～879,
早良小,早良中,早良区,早良,1丁目～7丁目,
早良小,早良中,早良区,大字西,1839、1841,
三筑小,三筑中,博多区,三筑,1丁目、2丁目,
三筑小,三筑中,博多区,諸岡,4丁目～6丁目,
三筑小,三筑中,博多区,南八幡町,1丁目、2丁目,
三筑小,三筑中,博多区,相生町,1丁目～3丁目,
三筑小,三筑中,博多区,南本町,1丁目,
塩原小,春吉中,南区,清水,2丁目,春吉中校区は中央区に春吉小校区あり
塩原小,春吉中,南区,大橋団地,全域,
塩原小,春吉中,南区,大橋,2丁目1番～8番,
塩原小,春吉中,南区,塩原,1丁目～3丁目、4丁目1番～29番,
志賀島小,志賀中,東区,大字志賀島,全域,
志賀島小,志賀中,東区,大字弘,全域,
四箇田小,金武中,早良区,四箇田団地,全域,金武中校区は西区に金武小校区あり
四箇田小,金武中,早良区,四箇,1丁目～6丁目(ただし、田村小区域を除く),
四箇田小,金武中,早良区,重留,7丁目1番～27番,
四箇田小,金武中,早良区,田村,5丁目23番～26番、6丁目11番(32号)、 7丁目13番(38号)、22番,
四箇田小,金武中,早良区,西入部,1丁目5番～7番,
下山門小,下山門中,西区,下山門,1丁目～4丁目(ただし、4丁目16番～19番を除く),
下山門小,下山門中,西区,生の松原,1丁目(ただし、24番～26番を除く…西陵小),
下山門小,下山門中,西区,下山門団地,1番～28番(ただし、5番(2号)を除く…西陵小),
城南小,城南中,城南区,荒江団地,全域,
城南小,城南中,城南区,荒江,1丁目(2丁目、3丁目は早良区),
城南小,城南中,城南区,飯倉,1丁目(2丁目～8丁目は早良区),
城南小,城南中,城南区,茶山,1丁目6番～9番、4丁目～6丁目,
城南小,城南中,城南区,別府,6丁目14番～26番,
城南小,城南中,城南区,七隈,1丁目、2丁目、3丁目1番～8番、15番～20番,
城原小,西陵中,西区,城の原団地,全域,
城原小,西陵中,西区,上山門,1丁目～3丁目,
城原小,西陵中,西区,拾六町,5丁目,
城原小,西陵中,西区,下山門,4丁目16番～19番,
城浜小,城香中,東区,城浜団地,全域,
周船寺小,元岡中,西区,宇田川原,全域,
周船寺小,元岡中,西区,大字千里,全域,
周船寺小,元岡中,西区,大字飯氏,全域,
周船寺小,元岡中,西区,大字周船寺,全域,
周船寺小,元岡中,西区,大字徳永,660,
周船寺小,元岡中,西区,北原,"2丁目4番の一部 ※一部の詳細は、学校計画第1課・第2課へ照会のこと",
周船寺小,元岡中,西区,周船寺,"1丁目(ただし、13番(25号,28号)を除く･･･元岡小)、2丁目1番～18番、3丁目",
住吉小,住吉中,博多区,住吉,1丁目～5丁目,
住吉小,住吉中,博多区,美野島,1丁目～4丁目,
西陵小,西陵中,西区,大字下山門,1710(31)～1718,
西陵小,西陵中,西区,下山門団地,5番(2号)、29番～79番,
西陵小,西陵中,西区,生の松原,1丁目24番～26番、2丁目～4丁目,
高木小,宮竹中,南区,高木,1丁目～3丁目,
高木小,横手中,南区,井尻,4丁目、5丁目,
高木小,横手中,南区,折立町,全域,
高取小,高取中,早良区,高取,1丁目、2丁目,
高取小,高取中,早良区,西新,5丁目,
高取小,高取中,早良区,祖原,全域,
高取小,高取中,早良区,昭代,1丁目～3丁目,
高取小,高取中,早良区,曙,2丁目6番～11番,
高宮小,高宮中,中央区,白金,1丁目、2丁目,高宮中校区は南区に西高宮小校区、大楠小校区あり
高宮小,高宮中,中央区,大宮,1丁目、2丁目,
高宮小,高宮中,中央区,清川,2丁目17番、18番、20番、21番(16号～25号)、22番、3丁目6番～20番、25番～27番,
高宮小,高宮中,中央区,那の川,2丁目5番～11番（1番～4番は南区）,
高宮小,高宮中,中央区,高砂,1丁目12番～16番、2丁目,
田隈小,田隈中,早良区,野芥,1丁目1番～23番、2丁目、3丁目3番～13番、15番,
田隈小,田隈中,早良区,田隈,1丁目、2丁目、3丁目1番～16番、24番～68番,
田隈小,梅林中,早良区,野芥,1丁目24番～32番,梅林中校区は城南区に七隈小、金山小校区あり
田島小,友泉中,城南区,田島,1丁目～6丁目(ただし、2丁目16番、21番～25番を除く…別府小),友泉中校区は中央区に笹丘小校区あり
田島小,友泉中,城南区,友丘,1丁目,
田島小,城南中,城南区,茶山,2丁目、3丁目,
多々良小,多々良中央中,東区,多の津,1丁目～5丁目,
多々良小,多々良中央中,東区,土井,1丁目～4丁目,
多々良小,多々良中央中,東区,松島,3丁目31番～34番、5丁目21番～29番,
多々良小,多々良中央中,東区,蒲田,1丁目～5丁目,
多々良小,多々良中央中,東区,名子,1丁目～3丁目,青葉小への指定学校変更が可能。(青葉中への変更はできません。)
多々良小,多々良中央中,東区,大字名子,全域,
多々良小,多々良中央中,東区,多々良,1丁目、2丁目,
玉川小,春吉中,南区,大橋,1丁目1番～8番、13番～19番、20番(1号～3号、21号～28号),春吉中校区は中央区に春吉小校区あり
玉川小,春吉中,南区,清水,1丁目、3丁目、4丁目,
玉川小,春吉中,南区,玉川町,全域,
玉川小,春吉中,南区,向野,1丁目、2丁目,
玉川小,春吉中,南区,野間,1丁目1番～13番、14番(7号～15号、22号～29号)、15番(1号、2号、9号～17号)、19番～29番,
田村小,田隈中,早良区,次郎丸,"3丁目29番～30番、4丁目10番(21号～46号)、14番(ただし、18号を除く)、15番(ただし、5号、40号～43号を除く)、16番、17番、18番(ただし、1号～6号、10号～12号、46号、48号、50号～54号、56号を除く）、19番、5丁目11番(38号～50号)、15番～18番 ※除く住所は、すべて有田小区域",
田村小,田隈中,早良区,四箇,1丁目1番(1号～11号、32号～43号),
田村小,田隈中,早良区,田村,"1丁目～4丁目、5丁目(ただし、18番、19番、27番・・・野芥小、23番～26番・・・四箇田小 を除く)、 6丁目(ただし、11番(32号)を除く・・・四箇田小)、 7丁目(ただし、13番(38号)、22番を除く・・・四箇田小)",
筑紫丘小,筑紫丘中,南区,大橋,1丁目11番(1号、2号、12号～19号)、12番、20番(4号～20号)、21番～24番、25番(1号～5号、12号～19号)、27番(19号、20号)、4丁目14番(1号～6号、13号～49号)、15番、17番～32番,
筑紫丘小,筑紫丘中,南区,南大橋,1丁目、2丁目,
筑紫丘小,筑紫丘中,南区,筑紫丘,"1丁目、2丁目1番～4番、5番(2号の一部～25号)、6番～28番 ※一部の詳細は、学校計画第1課・第2課へ照会のこと",
筑紫丘小,筑紫丘中,南区,三宅,1丁目8番(13号～37号)、22番(20号～26号),
筑紫丘小,筑紫丘中,南区,若久団地,全域,
筑紫丘小,筑紫丘中,南区,若久,2丁目1番～25番、26番(1号～11号、38号～46号),
千早小,香椎第１中,東区,千早,3丁目5番～13番、4丁目(ただし、1～15番を除く…千早西小)、5丁目、6丁目,
千早小,香椎第１中,東区,香椎団地,全域,
千早西小,香椎第１中,東区,千早,1丁目、2丁目、3丁目1番～4番、4丁目1番～15番,
千早西小,香椎第１中,東区,香椎浜,1丁目1番、3番～5番,
千代小,千代中,博多区,千代,1丁目1番(19号～84号)、2番、3番、5番～33番、2丁目～6丁目,
千代小,千代中,博多区,東公園,3番(7号)、4番～8番,
月隈小,席田中,博多区,東月隈,5丁目37番(3号)、38番,
月隈小,席田中,博多区,西月隈,"1丁目１番～12番、13番(8号、10号～12号、47号、48号、54号)、14番～16番、2丁目、3丁目1番(19号～28号)、2番～7番、8番(11号、12号)、10番(9号～11号、27号、28号、29号、31号、32号)、11番～23番、4丁目、5丁目1番～4番、7番、8番、9番～11番、12番(7号、11号、14号、15号、17号、28号、29号、31号、33号、36号),13番～17番、18番(10号～22号、26号)、19番、6丁目(ただし、7番を除く)",
月隈小,席田中,博多区,月隈,1丁目～6丁目(ただし、6丁目20番、21番を除く･･･東月隈小),
月隈小,席田中,博多区,立花寺,1丁目、2丁目,
月隈小,席田中,博多区,大字立花寺,全域(ただし、東月隈小区域を除く),
月隈小,席田中,博多区,大字下月隈,全域(ただし、東月隈小区域を除く),
月隈小,席田中,博多区,金の隈,1丁目～3丁目,
月隈小,席田中,博多区,大字金隈,全域,
堤小,長尾中,城南区,樋井川,4丁目～7丁目,
堤小,長尾中,城南区,東油山,1丁目、4丁目～6丁目,
堤小,長尾中,城南区,大字東油山,全域,
堤小,長尾中,城南区,宝台団地,全域,
堤小,長尾中,城南区,堤,2丁目3番～12番,
堤丘小,長尾中,城南区,樋井川,1丁目、2丁目,
堤丘小,長尾中,城南区,堤団地,全域,
堤丘小,長尾中,城南区,堤,1丁目、2丁目1番、2番,
堤丘小,長尾中,城南区,片江,2丁目8番,
